,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential,Country
Afghanistan,-38,-21,-13,-34,-33,10,Afghanistan
Angola,-61,-40,-39,-57,-11,22,Angola
Argentina,-86,-61,-89,-80,-57,27,Argentina
Aruba,-88,-66,-80,-88,-72,20,Aruba
Australia,-45,-19,-35,-58,-33,13,Australia
Austria,-87,-64,-43,-71,-51,14,Austria
Bahrain,-45,-22,-40,-38,-25,16,Bahrain
Bangladesh,-68,-46,-26,-66,-60,24,Bangladesh
Barbados,-70,-47,-60,-77,-52,15,Barbados
Belarus,-14,5,41,-7,3,-2,Belarus
Belgium,-84,-53,-66,-76,-52,17,Belgium
Belize,-63,-49,-38,-68,-42,13,Belize
Benin,-16,0,10,-14,2,5,Benin
Bolivia,-93,-94,-89,-92,-72,35,Bolivia
Bosnia and Herzegovina,-76,-50,-22,-59,-50,13,Bosnia and Herzegovina
Botswana,-12,-2,7,-20,-3,13,Botswana
Brazil,-71,-35,-70,-62,-34,17,Brazil
Federal District,-68,-28,-63,-56,-36,20,Brazil
State of Acre,-68,-20,-56,-75,-22,11,Brazil
State of Alagoas,-77,-43,-79,-76,-35,17,Brazil
State of Amapá,-71,-27,-51,-73,-28,11,Brazil
State of Amazonas,-64,-28,-62,-46,-26,13,Brazil
State of Bahia,-73,-42,-71,-73,-33,17,Brazil
State of Ceará,-76,-34,-71,-68,-33,16,Brazil
State of Espírito Santo,-68,-35,-69,-69,-31,16,Brazil
State of Goiás,-67,-27,-44,-50,-28,15,Brazil
State of Maranhão,-63,-27,-48,-66,-20,11,Brazil
State of Mato Grosso,-63,-30,-44,-59,-22,11,Brazil
State of Mato Grosso do Sul,-68,-33,-56,-68,-26,14,Brazil
State of Minas Gerais,-66,-29,-46,-57,-30,15,Brazil
State of Paraná,-75,-42,-70,-64,-34,17,Brazil
State of Paraíba,-76,-36,-73,-64,-33,17,Brazil
State of Pará,-61,-25,-53,-64,-19,12,Brazil
State of Pernambuco,-74,-35,-72,-59,-35,17,Brazil
State of Piauí,-71,-39,-49,-76,-27,18,Brazil
State of Rio Grande do Norte,-74,-36,-74,-66,-33,19,Brazil
State of Rio Grande do Sul,-75,-39,-73,-67,-36,20,Brazil
State of Rio de Janeiro,-72,-32,-74,-61,-37,17,Brazil
State of Rondônia,-63,-27,-42,-71,-23,12,Brazil
State of Roraima,-68,-25,-51,-72,-24,12,Brazil
State of Santa Catarina,-80,-49,-84,-76,-40,20,Brazil
State of Sergipe,-78,-46,-77,-83,-36,18,Brazil
State of São Paulo,-72,-36,-71,-62,-37,17,Brazil
State of Tocantins,-61,-31,-35,-71,-19,11,Brazil
Bulgaria,-66,-36,-32,-58,-29,11,Bulgaria
Burkina Faso,-34,-25,-22,-53,-3,15,Burkina Faso
Cambodia,-43,-29,-31,-57,-15,12,Cambodia
Cameroon,-26,-20,-19,-23,-3,9,Cameroon
Canada,-59,-35,-16,-66,-44,14,Canada
Cape Verde,-60,-48,-57,-88,-40,19,Cape Verde
Chile,-73,-55,-72,-64,-42,24,Chile
Colombia,-86,-68,-80,-82,-58,26,Colombia
Costa Rica,-68,-41,-71,-68,-39,21,Costa Rica
Croatia,-82,-57,-45,-74,-50,15,Croatia
Czechia,-73,-26,-24,-61,-31,11,Czechia
Côte d'Ivoire,-35,-21,-21,-33,-9,14,Côte d'Ivoire
Denmark,-37,-22,35,-60,-28,9,Denmark
Dominican Republic,-80,-63,-73,-84,-56,23,Dominican Republic
Ecuador,-84,-66,-80,-80,-61,26,Ecuador
Egypt,-50,-24,-40,-52,-35,15,Egypt
El Salvador,-81,-62,-72,-73,-50,23,El Salvador
Estonia,-60,-28,4,-51,-32,10,Estonia
Fiji,-39,-25,-13,-59,-6,12,Fiji
Finland,-52,-21,48,-59,-25,9,Finland
France,-88,-72,-82,-87,-56,18,France
Gabon,-39,-24,-25,-47,-15,15,Gabon
Georgia,-67,-36,-24,-53,-38,12,Georgia
Germany,-77,-51,-49,-68,-39,11,Germany
Ghana,-15,8,-15,-15,3,9,Ghana
Greece,-80,-41,-55,-76,-53,20,Greece
Guatemala,-67,-39,-53,-69,-39,19,Guatemala
Haiti,-34,-31,-19,-48,-14,7,Haiti
Honduras,-81,-64,-59,-74,-46,20,Honduras
Hong Kong,-35,-7,-43,-45,-24,16,Hong Kong
Hungary,-66,-43,-7,-53,-32,10,Hungary
India,-77,-65,-57,-71,-47,22,India
Indonesia,-47,-27,-52,-54,-15,15,Indonesia
Iraq,-64,-42,-48,-61,-55,21,Iraq
Ireland,-83,-37,-59,-78,-52,19,Ireland
Israel,-67,-13,-56,-61,-59,30,Israel
Italy,-94,-85,-90,-87,-63,24,Italy
Jamaica,-53,-36,-50,-50,-29,12,Jamaica
Japan,-26,-7,-25,-41,-9,7,Japan
Jordan,-74,-52,-59,-89,-73,27,Jordan
Kazakhstan,-45,-24,-20,-32,-17,9,Kazakhstan
Kenya,-45,-33,-20,-39,-22,17,Kenya
Kuwait,-56,-30,-48,-49,-42,23,Kuwait
Kyrgyzstan,-74,-64,-32,-70,-43,15,Kyrgyzstan
Laos,-45,-23,-18,-47,-9,11,Laos
Latvia,-50,-22,-18,-48,-25,7,Latvia
Lebanon,-73,-48,-59,-84,-41,15,Lebanon
Libya,-49,-28,-32,-52,-36,21,Libya
Lithuania,-72,-38,-28,-63,-33,11,Lithuania
Luxembourg,-90,-70,-66,-78,-60,23,Luxembourg
Malaysia,-81,-58,-68,-83,-52,31,Malaysia
Mali,-25,-18,-12,-36,0,9,Mali
Malta,-76,-38,-45,-57,-49,19,Malta
Mauritius,-89,-86,-88,-89,-69,24,Mauritius
Mexico,-45,-19,-46,-47,-20,11,Mexico
Moldova,-67,-44,-43,-68,-37,12,Moldova
Mongolia,-16,5,5,-16,-2,2,Mongolia
Mozambique,-26,-13,-22,-29,1,10,Mozambique
